STATUS ReviewStatus { phase: Starting, output_bytes: 0, denied_permissions: 0, tool_failure_observed: false }
STATUS ReviewStatus { phase: Starting, output_bytes: 0, denied_permissions: 0, tool_failure_observed: false }
STATUS ReviewStatus { phase: Starting, output_bytes: 0, denied_permissions: 0, tool_failure_observed: false }
STATUS ReviewStatus { phase: Starting, output_bytes: 0, denied_permissions: 0, tool_failure_observed: false }
STATUS ReviewStatus { phase: Starting, output_bytes: 0, denied_permissions: 0, tool_failure_observed: false }
STATUS ReviewStatus { phase: Starting, output_bytes: 0, denied_permissions: 0, tool_failure_observed: false }
STATUS ReviewStatus { phase: Inspecting, output_bytes: 0, denied_permissions: 0, tool_failure_observed: false }
STATUS ReviewStatus { phase: Inspecting, output_bytes: 0, denied_permissions: 0, tool_failure_observed: false }
STATUS ReviewStatus { phase: Inspecting, output_bytes: 1, denied_permissions: 0, tool_failure_observed: false }
STATUS ReviewStatus { phase: Inspecting, output_bytes: 22, denied_permissions: 0, tool_failure_observed: false }
STATUS ReviewStatus { phase: Inspecting, output_bytes: 38, denied_permissions: 0, tool_failure_observed: false }
STATUS ReviewStatus { phase: Inspecting, output_bytes: 49, denied_permissions: 0, tool_failure_observed: false }
STATUS ReviewStatus { phase: Inspecting, output_bytes: 61, denied_permissions: 0, tool_failure_observed: false }
STATUS ReviewStatus { phase: Inspecting, output_bytes: 64, denied_permissions: 0, tool_failure_observed: false }
STATUS ReviewStatus { phase: Inspecting, output_bytes: 64, denied_permissions: 0, tool_failure_observed: false }
STATUS ReviewStatus { phase: Inspecting, output_bytes: 64, denied_permissions: 0, tool_failure_observed: false }
STATUS ReviewStatus { phase: Inspecting, output_bytes: 64, denied_permissions: 0, tool_failure_observed: false }
STATUS ReviewStatus { phase: Inspecting, output_bytes: 64, denied_permissions: 0, tool_failure_observed: false }
STATUS ReviewStatus { phase: Inspecting, output_bytes: 64, denied_permissions: 0, tool_failure_observed: false }
STATUS ReviewStatus { phase: Inspecting, output_bytes: 64, denied_permissions: 0, tool_failure_observed: false }
STATUS ReviewStatus { phase: Inspecting, output_bytes: 64, denied_permissions: 0, tool_failure_observed: false }
STATUS ReviewStatus { phase: Inspecting, output_bytes: 64, denied_permissions: 0, tool_failure_observed: false }
STATUS ReviewStatus { phase: Inspecting, output_bytes: 64, denied_permissions: 0, tool_failure_observed: false }
STATUS ReviewStatus { phase: Inspecting, output_bytes: 64, denied_permissions: 0, tool_failure_observed: false }
STATUS ReviewStatus { phase: Inspecting, output_bytes: 78, denied_permissions: 0, tool_failure_observed: false }
STATUS ReviewStatus { phase: Inspecting, output_bytes: 90, denied_permissions: 0, tool_failure_observed: false }
STATUS ReviewStatus { phase: Inspecting, output_bytes: 95, denied_permissions: 0, tool_failure_observed: false }
STATUS ReviewStatus { phase: Inspecting, output_bytes: 98, denied_permissions: 0, tool_failure_observed: false }
STATUS ReviewStatus { phase: Inspecting, output_bytes: 110, denied_permissions: 0, tool_failure_observed: false }
STATUS ReviewStatus { phase: Inspecting, output_bytes: 110, denied_permissions: 0, tool_failure_observed: false }
STATUS ReviewStatus { phase: Inspecting, output_bytes: 110, denied_permissions: 0, tool_failure_observed: true }
STATUS ReviewStatus { phase: Inspecting, output_bytes: 110, denied_permissions: 0, tool_failure_observed: true }
STATUS ReviewStatus { phase: Inspecting, output_bytes: 110, denied_permissions: 0, tool_failure_observed: true }
STATUS ReviewStatus { phase: Inspecting, output_bytes: 112, denied_permissions: 0, tool_failure_observed: true }
STATUS ReviewStatus { phase: Inspecting, output_bytes: 124, denied_permissions: 0, tool_failure_observed: true }
STATUS ReviewStatus { phase: Inspecting, output_bytes: 131, denied_permissions: 0, tool_failure_observed: true }
STATUS ReviewStatus { phase: Inspecting, output_bytes: 139, denied_permissions: 0, tool_failure_observed: true }
STATUS ReviewStatus { phase: Inspecting, output_bytes: 148, denied_permissions: 0, tool_failure_observed: true }
