theme	role	source	ansi256	ansi16	no_color	color_syntax	no_color_syntax
CyrilDark	canvas	reset	reset	reset	reset	base16-eighties.dark	none
CyrilDark	chrome	1e1e2e	235	0	reset	base16-eighties.dark	none
CyrilDark	code	282c34	236	0	reset	base16-eighties.dark	none
CyrilDark	selection	323246	237	4	reset	base16-eighties.dark	none
CyrilDark	text	ffffff	231	15	reset	base16-eighties.dark	none
CyrilDark	muted	8c8c8c	245	8	reset	base16-eighties.dark	none
CyrilDark	border	8c8c8c	245	8	reset	base16-eighties.dark	none
CyrilDark	accent	00ffff	51	14	reset	base16-eighties.dark	none
CyrilDark	accent_alt	b48ead	139	7	reset	base16-eighties.dark	none
CyrilDark	user	8ab4f8	111	12	reset	base16-eighties.dark	none
CyrilDark	agent	81c784	114	10	reset	base16-eighties.dark	none
CyrilDark	system	b48ead	139	13	reset	base16-eighties.dark	none
CyrilDark	info	00ffff	51	14	reset	base16-eighties.dark	none
CyrilDark	success	00ff00	46	10	reset	base16-eighties.dark	none
CyrilDark	warning	ffff00	226	11	reset	base16-eighties.dark	none
CyrilDark	danger	ff0000	196	9	reset	base16-eighties.dark	none
CyrilDark	diff_add	00ff00	46	10	reset	base16-eighties.dark	none
CyrilDark	diff_delete	ff0000	196	9	reset	base16-eighties.dark	none
CyrilDark	diff_context	8c8c8c	245	8	reset	base16-eighties.dark	none
CyrilDark	emphasis	808000	100	3	reset	base16-eighties.dark	none
CyrilDark	accent_tertiary	000080	18	4	reset	base16-eighties.dark	none
CyrilDark	accent_quaternary	800080	90	5	reset	base16-eighties.dark	none
CyrilDark	accent_quinary	008080	30	6	reset	base16-eighties.dark	none
CyrilDark	subdued	808080	244	8	reset	base16-eighties.dark	none
CyrilDark	subdued_positive	008000	28	2	reset	base16-eighties.dark	none
CyrilDark	subdued_negative	800000	88	1	reset	base16-eighties.dark	none
CyrilDark	soft_accent	8ab4f8	111	7	reset	base16-eighties.dark	none
CyrilDark	positive_accent	81c784	114	8	reset	base16-eighties.dark	none
CyrilDark	inset_background	282c34	236	0	reset	base16-eighties.dark	none
